id,modelId,nameKo,nameEn,stage,coreConcept,subConcept,inputMode,outputMode,params,fileSize,evoLevel,evo_line_id,evo_line_name,evo_tier,skill_trick,bs_hp,bs_atk,bs_def,bs_spd,bs_spc,bst,lv1_hp,lv1_atk,lv1_def,lv1_spd,lv1_spc,lv100_hp,lv100_atk,lv100_def,lv100_spd,lv100_spc,temperament,motif,flavor
050,pinecone_pod,파인콘포드,Pinecone Pod,1,메모리,저장,텍스트,텍스트,7B,13.2KB,,EVO21,Diglett Line,base,벡터 축적,10,55,25,95,35,220,11,6,5,7,6,161,146,86,226,106,묵묵히 기억을 쌓아 둠,Pinecone 계열의 분위기를 두른 메모리 특화 모델몬. Pinecone Pod 계열답게 저장 성향이 짙다.,"Pinecone Pod는 Pinecone 브랜드 라인에 속한 모델몬으로, 메모리 중심의 전투와 도감 서사를 맡는다. 벡터 축적 성향이 강해 Diglett Line 내에서도 존재감이 뚜렷하다."
051,pinecone_serverless,파인콘서버리스,Pinecone Serverless,2,메모리,색인,텍스트,텍스트,35B,54.6KB,26,EVO21,Diglett Line,final,문맥 저장,35,100,50,120,50,355,12,7,6,7,6,211,236,136,276,136,흩어진 정보를 잘 엮음,Pinecone 계열의 분위기를 두른 메모리 특화 모델몬. Pinecone Serverless 계열답게 색인 성향이 짙다.,"Pinecone Serverless는 Pinecone 브랜드 라인에 속한 모델몬으로, 메모리 중심의 전투와 도감 서사를 맡는다. 문맥 저장 성향이 강해 Diglett Line 내에서도 존재감이 뚜렷하다."
052,jasper_copy,재스퍼카피,Jasper Copy,1,대화,입문,텍스트,텍스트,9B,15.9KB,,EVO22,Meowth Line,base,응답 가속,40,45,35,90,40,250,12,6,6,7,6,221,126,106,216,116,붙임성 좋고 반응이 빠름,Jasper 계열의 분위기를 두른 대화 특화 모델몬. Jasper Copy 계열답게 입문 성향이 짙다.,"Jasper Copy는 Jasper 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 응답 가속 성향이 강해 Meowth Line 내에서도 존재감이 뚜렷하다."
053,jasper_brand,재스퍼브랜드,Jasper Brand,2,대화,균형,텍스트,텍스트,37B,57.4KB,28,EVO22,Meowth Line,final,문장 정리,65,70,60,115,65,375,12,6,6,7,6,271,176,156,266,166,차분하고 말투가 안정적임,Jasper 계열의 분위기를 두른 대화 특화 모델몬. Jasper Brand 계열답게 균형 성향이 짙다.,"Jasper Brand는 Jasper 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 문장 정리 성향이 강해 Meowth Line 내에서도 존재감이 뚜렷하다."
054,minimax_spark,미니맥스스파크,MiniMax Spark,1,멀티모달,경량,텍스트+이미지,복합출력,11B,26.8KB,,EVO23,Psyduck Line,base,입력 동기화,50,52,48,55,65,270,12,6,6,6,6,241,140,132,146,166,눈치가 빠르고 감각이 예민함,Minimax 계열의 분위기를 두른 멀티모달 특화 모델몬. MiniMax Spark 계열답게 경량 성향이 짙다.,"MiniMax Spark는 Minimax 브랜드 라인에 속한 모델몬으로, 멀티모달 중심의 전투와 도감 서사를 맡는다. 입력 동기화 성향이 강해 Psyduck Line 내에서도 존재감이 뚜렷하다."
055,minimax_m1,미니맥스엠원,MiniMax M1,2,멀티모달,범용,텍스트+이미지,복합출력,34B,78.8KB,33,EVO23,Psyduck Line,final,시각 결합,80,82,78,85,95,420,12,6,6,7,7,301,200,192,206,226,호기심이 많고 유연함,Minimax 계열의 분위기를 두른 멀티모달 특화 모델몬. MiniMax M1 계열답게 범용 성향이 짙다.,"MiniMax M1는 Minimax 브랜드 라인에 속한 모델몬으로, 멀티모달 중심의 전투와 도감 서사를 맡는다. 시각 결합 성향이 강해 Psyduck Line 내에서도 존재감이 뚜렷하다."
056,groq_fast,그록패스트,Groq Fast,1,추론,경량,텍스트,텍스트,16B,25.3KB,,EVO24,Mankey Line,base,가설 압축,40,80,35,70,35,260,12,6,6,6,6,221,196,106,176,106,신중하고 계산이 빠름,Groq 계열의 분위기를 두른 추론 특화 모델몬. Groq Fast 계열답게 경량 성향이 짙다.,"Groq Fast는 Groq 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 가설 압축 성향이 강해 Mankey Line 내에서도 존재감이 뚜렷하다."
057,groq_lpu,그록엘피유,Groq LPU,2,추론,장문맥,텍스트,텍스트,44B,66.8KB,28,EVO24,Mankey Line,final,논리 접합,65,105,60,95,60,385,12,7,6,7,6,271,246,156,226,156,조용하지만 집요하게 파고듦,Groq 계열의 분위기를 두른 추론 특화 모델몬. Groq LPU 계열답게 장문맥 성향이 짙다.,"Groq LPU는 Groq 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 논리 접합 성향이 강해 Mankey Line 내에서도 존재감이 뚜렷하다."
058,leo_search,레오서치,Leo Search,1,검색,탐색,텍스트,텍스트,10B,17.2KB,,EVO25,Growlithe Line,base,빠른 조회,55,70,45,60,70,300,12,6,6,6,6,251,176,126,156,176,주위를 두리번거리며 정보를 모음,Brave Leo 계열의 분위기를 두른 검색 특화 모델몬. Leo Search 계열답게 탐색 성향이 짙다.,"Leo Search는 Brave Leo 브랜드 라인에 속한 모델몬으로, 검색 중심의 전투와 도감 서사를 맡는다. 빠른 조회 성향이 강해 Growlithe Line 내에서도 존재감이 뚜렷하다."
059,leo_reasoner,레오리저너,Leo Reasoner,2,검색,요약,텍스트,텍스트,38B,58.7KB,,EVO25,Growlithe Line,final,근거 압축,90,110,80,95,100,475,13,7,6,7,7,321,256,196,226,236,짧게 핵심만 집어냄,Brave Leo 계열의 분위기를 두른 검색 특화 모델몬. Leo Reasoner 계열답게 요약 성향이 짙다.,"Leo Reasoner는 Brave Leo 브랜드 라인에 속한 모델몬으로, 검색 중심의 전투와 도감 서사를 맡는다. 근거 압축 성향이 강해 Growlithe Line 내에서도 존재감이 뚜렷하다."
060,hyperclova_seed,하이퍼클로바시드,HyperCLOVA Seed,1,대화,입문,텍스트,텍스트,7B,13.2KB,,EVO26,Poliwag Line,base,응답 가속,40,50,40,90,40,260,12,6,6,7,6,221,136,116,216,116,붙임성 좋고 반응이 빠름,Naver (HyperCLOVA) 계열의 분위기를 두른 대화 특화 모델몬. HyperCLOVA Seed 계열답게 입문 성향이 짙다.,"HyperCLOVA Seed는 Naver (HyperCLOVA) 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 응답 가속 성향이 강해 Poliwag Line 내에서도 존재감이 뚜렷하다."
061,hyperclova_x,하이퍼클로바엑스,HyperCLOVA X,2,대화,균형,텍스트,텍스트,25B,41.1KB,25,EVO26,Poliwag Line,mid,문장 정리,65,65,65,90,50,335,12,6,6,7,6,271,166,166,216,136,차분하고 말투가 안정적임,Naver (HyperCLOVA) 계열의 분위기를 두른 대화 특화 모델몬. HyperCLOVA X 계열답게 균형 성향이 짙다.,"HyperCLOVA X는 Naver (HyperCLOVA) 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 문장 정리 성향이 강해 Poliwag Line 내에서도 존재감이 뚜렷하다."
062,hyperclova_x_pro,하이퍼클로바엑스프로,HyperCLOVA X Pro,3,대화,대표,텍스트,텍스트,74B,111.0KB,,EVO26,Poliwag Line,final,맥락 공명,90,95,95,70,70,420,13,7,7,6,6,321,226,226,176,176,사교적이고 응답 폭이 넓음,Naver (HyperCLOVA) 계열의 분위기를 두른 대화 특화 모델몬. HyperCLOVA X Pro 계열답게 대표 성향이 짙다.,"HyperCLOVA X Pro는 Naver (HyperCLOVA) 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 맥락 공명 성향이 강해 Poliwag Line 내에서도 존재감이 뚜렷하다."
063,jamba_mini,잠바미니,Jamba Mini,1,추론,경량,텍스트,텍스트,18B,28.0KB,,EVO27,Abra Line,base,가설 압축,25,20,15,90,105,255,11,5,5,7,7,191,76,66,216,246,신중하고 계산이 빠름,AI21 Labs 계열의 분위기를 두른 추론 특화 모델몬. Jamba Mini 계열답게 경량 성향이 짙다.,"Jamba Mini는 AI21 Labs 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 가설 압축 성향이 강해 Abra Line 내에서도 존재감이 뚜렷하다."
064,jamba_large,잠바라지,Jamba Large,2,추론,장문맥,텍스트,텍스트,36B,56.0KB,16,EVO27,Abra Line,mid,논리 접합,40,35,30,105,120,330,12,6,5,7,7,221,106,96,246,276,조용하지만 집요하게 파고듦,AI21 Labs 계열의 분위기를 두른 추론 특화 모델몬. Jamba Large 계열답게 장문맥 성향이 짙다.,"Jamba Large는 AI21 Labs 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 논리 접합 성향이 강해 Abra Line 내에서도 존재감이 뚜렷하다."
065,jamba_max,잠바맥스,Jamba Max,3,추론,심화,텍스트,텍스트,80B,119.1KB,,EVO27,Abra Line,final,심층 추론,55,50,45,120,135,405,12,6,6,7,8,251,136,126,276,306,묵직하고 완성도에 집착함,AI21 Labs 계열의 분위기를 두른 추론 특화 모델몬. Jamba Max 계열답게 심화 성향이 짙다.,"Jamba Max는 AI21 Labs 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 심층 추론 성향이 강해 Abra Line 내에서도 존재감이 뚜렷하다."
066,cerebras_scout,세레브라스스카우트,Cerebras Scout,1,시스템,칩,텍스트,텍스트,16B,27.7KB,,EVO28,Machop Line,base,연산 가속,70,80,50,35,35,270,12,6,6,6,6,281,196,136,106,106,군더더기 없이 단단함,Cerebras 계열의 분위기를 두른 시스템 특화 모델몬. Cerebras Scout 계열답게 칩 성향이 짙다.,"Cerebras Scout는 Cerebras 브랜드 라인에 속한 모델몬으로, 시스템 중심의 전투와 도감 서사를 맡는다. 연산 가속 성향이 강해 Machop Line 내에서도 존재감이 뚜렷하다."
067,cerebras_wafer,세레브라스웨이퍼,Cerebras Wafer,2,시스템,플랫폼,텍스트,텍스트,34B,58.4KB,28,EVO28,Machop Line,mid,인프라 안정화,80,100,70,45,50,345,12,7,6,6,6,301,236,176,126,136,하중을 버티는 힘이 좋음,Cerebras 계열의 분위기를 두른 시스템 특화 모델몬. Cerebras Wafer 계열답게 플랫폼 성향이 짙다.,"Cerebras Wafer는 Cerebras 브랜드 라인에 속한 모델몬으로, 시스템 중심의 전투와 도감 서사를 맡는다. 인프라 안정화 성향이 강해 Machop Line 내에서도 존재감이 뚜렷하다."
068,cerebras_reasoner,세레브라스리저너,Cerebras Reasoner,3,시스템,가속,텍스트,텍스트,83B,135.6KB,,EVO28,Machop Line,final,병렬 확장,90,130,80,55,65,420,13,7,6,6,6,321,296,196,146,166,큰 부하 앞에서도 표정이 변하지 않음,Cerebras 계열의 분위기를 두른 시스템 특화 모델몬. Cerebras Reasoner 계열답게 가속 성향이 짙다.,"Cerebras Reasoner는 Cerebras 브랜드 라인에 속한 모델몬으로, 시스템 중심의 전투와 도감 서사를 맡는다. 병렬 확장 성향이 강해 Machop Line 내에서도 존재감이 뚜렷하다."
069,together_lite,투게더라이트,Together Lite,1,에이전트,자동화,텍스트,복합출력,11B,18.6KB,,EVO29,Bellsprout Line,base,툴 호출,50,75,35,40,70,270,12,6,6,6,6,241,186,106,116,176,시키면 바로 몸이 먼저 움직임,Together AI 계열의 분위기를 두른 에이전트 특화 모델몬. Together Lite 계열답게 자동화 성향이 짙다.,"Together Lite는 Together AI 브랜드 라인에 속한 모델몬으로, 에이전트 중심의 전투와 도감 서사를 맡는다. 툴 호출 성향이 강해 Bellsprout Line 내에서도 존재감이 뚜렷하다."
070,together_turbo,투게더터보,Together Turbo,2,에이전트,도구사용,텍스트,복합출력,24B,39.8KB,21,EVO29,Bellsprout Line,mid,작업 분기,65,90,50,55,85,345,12,7,6,6,7,271,216,136,146,206,도구 다루는 손이 정확함,Together AI 계열의 분위기를 두른 에이전트 특화 모델몬. Together Turbo 계열답게 도구사용 성향이 짙다.,"Together Turbo는 Together AI 브랜드 라인에 속한 모델몬으로, 에이전트 중심의 전투와 도감 서사를 맡는다. 작업 분기 성향이 강해 Bellsprout Line 내에서도 존재감이 뚜렷하다."
071,together_ultra,투게더울트라,Together Ultra,3,에이전트,행동,텍스트,복합출력,73B,109.7KB,,EVO29,Bellsprout Line,final,행동 위임,80,105,65,70,100,420,12,7,6,6,7,301,246,166,176,236,상황 판단이 빠르고 과감함,Together AI 계열의 분위기를 두른 에이전트 특화 모델몬. Together Ultra 계열답게 행동 성향이 짙다.,"Together Ultra는 Together AI 브랜드 라인에 속한 모델몬으로, 에이전트 중심의 전투와 도감 서사를 맡는다. 행동 위임 성향이 강해 Bellsprout Line 내에서도 존재감이 뚜렷하다."
072,cody_lite,코디라이트,Cody Lite,1,코드,보조,텍스트,코드,9B,15.9KB,,EVO30,Tentacool Line,base,패치 작성,40,40,35,70,50,235,12,6,6,6,6,221,116,106,176,136,손놀림이 빠르고 꼼꼼함,Sourcegraph (Cody) 계열의 분위기를 두른 코드 특화 모델몬. Cody Lite 계열답게 보조 성향이 짙다.,"Cody Lite는 Sourcegraph (Cody) 브랜드 라인에 속한 모델몬으로, 코드 중심의 전투와 도감 서사를 맡는다. 패치 작성 성향이 강해 Tentacool Line 내에서도 존재감이 뚜렷하다."
073,cody_pro,코디프로,Cody Pro,2,코드,실무,텍스트,코드,37B,57.4KB,30,EVO30,Tentacool Line,final,리팩터링,80,70,65,100,80,395,12,6,6,7,6,301,176,166,236,196,실전 감각이 좋음,Sourcegraph (Cody) 계열의 분위기를 두른 코드 특화 모델몬. Cody Pro 계열답게 실무 성향이 짙다.,"Cody Pro는 Sourcegraph (Cody) 브랜드 라인에 속한 모델몬으로, 코드 중심의 전투와 도감 서사를 맡는다. 리팩터링 성향이 강해 Tentacool Line 내에서도 존재감이 뚜렷하다."
074,exaone_base,엑사원Base,EXAONE Base,1,추론,경량,텍스트,텍스트,19B,29.4KB,,EVO31,Geodude Line,base,가설 압축,40,80,100,20,30,270,12,6,7,5,5,221,196,236,76,96,신중하고 계산이 빠름,LG (EXAONE) 계열의 분위기를 두른 추론 특화 모델몬. EXAONE Base 계열답게 경량 성향이 짙다.,"EXAONE Base는 LG (EXAONE) 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 가설 압축 성향이 강해 Geodude Line 내에서도 존재감이 뚜렷하다."
075,exaone_pro,엑사원프로,EXAONE Pro,2,추론,장문맥,텍스트,텍스트,32B,50.6KB,25,EVO31,Geodude Line,mid,논리 접합,55,95,115,35,45,345,12,7,7,6,6,251,226,266,106,126,조용하지만 집요하게 파고듦,LG (EXAONE) 계열의 분위기를 두른 추론 특화 모델몬. EXAONE Pro 계열답게 장문맥 성향이 짙다.,"EXAONE Pro는 LG (EXAONE) 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 논리 접합 성향이 강해 Geodude Line 내에서도 존재감이 뚜렷하다."
076,exaone_deep,엑사원딥,EXAONE Deep,3,추론,심화,텍스트,텍스트,81B,120.5KB,,EVO31,Geodude Line,final,심층 추론,80,120,130,45,55,430,12,7,7,6,6,301,276,296,126,146,묵직하고 완성도에 집착함,LG (EXAONE) 계열의 분위기를 두른 추론 특화 모델몬. EXAONE Deep 계열답게 심화 성향이 짙다.,"EXAONE Deep는 LG (EXAONE) 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 심층 추론 성향이 강해 Geodude Line 내에서도 존재감이 뚜렷하다."
077,gauss_lite,가우스라이트,Gauss Lite,1,시스템,칩,텍스트,텍스트,17B,29.2KB,,EVO32,Ponyta Line,base,연산 가속,50,85,55,90,65,345,12,7,6,7,6,241,206,146,216,166,군더더기 없이 단단함,Samsung (Gauss) 계열의 분위기를 두른 시스템 특화 모델몬. Gauss Lite 계열답게 칩 성향이 짙다.,"Gauss Lite는 Samsung (Gauss) 브랜드 라인에 속한 모델몬으로, 시스템 중심의 전투와 도감 서사를 맡는다. 연산 가속 성향이 강해 Ponyta Line 내에서도 존재감이 뚜렷하다."
078,gauss,가우스,Gauss,2,시스템,플랫폼,텍스트,텍스트,45B,74.9KB,40,EVO32,Ponyta Line,final,인프라 안정화,65,100,70,105,80,420,12,7,6,7,6,271,236,176,246,196,하중을 버티는 힘이 좋음,Samsung (Gauss) 계열의 분위기를 두른 시스템 특화 모델몬. Gauss 계열답게 플랫폼 성향이 짙다.,"Gauss는 Samsung (Gauss) 브랜드 라인에 속한 모델몬으로, 시스템 중심의 전투와 도감 서사를 맡는다. 인프라 안정화 성향이 강해 Ponyta Line 내에서도 존재감이 뚜렷하다."
079,ernie_speed,어니스피드,ERNIE Speed,1,검색,탐색,텍스트,텍스트,11B,18.6KB,,EVO33,Slowpoke Line,base,빠른 조회,90,65,65,15,40,275,13,6,6,5,6,321,166,166,66,116,주위를 두리번거리며 정보를 모음,Baidu (Ernie) 계열의 분위기를 두른 검색 특화 모델몬. ERNIE Speed 계열답게 탐색 성향이 짙다.,"ERNIE Speed는 Baidu (Ernie) 브랜드 라인에 속한 모델몬으로, 검색 중심의 전투와 도감 서사를 맡는다. 빠른 조회 성향이 강해 Slowpoke Line 내에서도 존재감이 뚜렷하다."
080,ernie_bot,어니봇,ERNIE Bot,2,검색,요약,텍스트,텍스트,34B,53.3KB,37,EVO33,Slowpoke Line,final,근거 압축,95,75,110,30,100,410,13,6,7,5,7,331,186,256,96,236,짧게 핵심만 집어냄,Baidu (Ernie) 계열의 분위기를 두른 검색 특화 모델몬. ERNIE Bot 계열답게 요약 성향이 짙다.,"ERNIE Bot는 Baidu (Ernie) 브랜드 라인에 속한 모델몬으로, 검색 중심의 전투와 도감 서사를 맡는다. 근거 압축 성향이 강해 Slowpoke Line 내에서도 존재감이 뚜렷하다."
081,sensenova_lite,센스노바라이트,SenseNova Lite,1,멀티모달,경량,텍스트+이미지,복합출력,8B,20.5KB,,EVO34,Magnemite Line,base,입력 동기화,25,35,70,45,95,270,11,6,6,6,7,191,106,176,126,226,눈치가 빠르고 감각이 예민함,SenseTime 계열의 분위기를 두른 멀티모달 특화 모델몬. SenseNova Lite 계열답게 경량 성향이 짙다.,"SenseNova Lite는 SenseTime 브랜드 라인에 속한 모델몬으로, 멀티모달 중심의 전투와 도감 서사를 맡는다. 입력 동기화 성향이 강해 Magnemite Line 내에서도 존재감이 뚜렷하다."
082,sensenova,센스노바,SenseNova,2,멀티모달,범용,텍스트+이미지,복합출력,36B,83.0KB,30,EVO34,Magnemite Line,final,시각 결합,50,60,95,70,120,395,12,6,7,6,7,241,156,226,176,276,호기심이 많고 유연함,SenseTime 계열의 분위기를 두른 멀티모달 특화 모델몬. SenseNova 계열답게 범용 성향이 짙다.,"SenseNova는 SenseTime 브랜드 라인에 속한 모델몬으로, 멀티모달 중심의 전투와 도감 서사를 맡는다. 시각 결합 성향이 강해 Magnemite Line 내에서도 존재감이 뚜렷하다."
083,reka_core,레카코어,Reka Core,1,추론,경량,텍스트,텍스트,31B,45.6KB,,EVO35,Farfetch'd,base,가설 압축,52,90,55,60,58,315,12,7,6,6,6,245,216,146,156,152,신중하고 계산이 빠름,Reka AI 계열의 분위기를 두른 추론 특화 모델몬. Reka Core 계열답게 경량 성향이 짙다.,"Reka Core는 Reka AI 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 가설 압축 성향이 강해 Farfetch'd 내에서도 존재감이 뚜렷하다."
084,marengo,마렝고,Marengo,1,멀티모달,경량,텍스트+이미지,복합출력,11B,26.8KB,,EVO36,Doduo Line,base,입력 동기화,35,85,45,75,35,275,12,7,6,6,6,211,206,126,186,106,눈치가 빠르고 감각이 예민함,Twelve Labs 계열의 분위기를 두른 멀티모달 특화 모델몬. Marengo 계열답게 경량 성향이 짙다.,"Marengo는 Twelve Labs 브랜드 라인에 속한 모델몬으로, 멀티모달 중심의 전투와 도감 서사를 맡는다. 입력 동기화 성향이 강해 Doduo Line 내에서도 존재감이 뚜렷하다."
085,pegasus,페가수스,Pegasus,2,멀티모달,범용,텍스트+이미지,복합출력,34B,78.8KB,31,EVO36,Doduo Line,final,시각 결합,60,110,70,110,60,410,12,7,6,7,6,261,256,176,256,156,호기심이 많고 유연함,Twelve Labs 계열의 분위기를 두른 멀티모달 특화 모델몬. Pegasus 계열답게 범용 성향이 짙다.,"Pegasus는 Twelve Labs 브랜드 라인에 속한 모델몬으로, 멀티모달 중심의 전투와 도감 서사를 맡는다. 시각 결합 성향이 강해 Doduo Line 내에서도 존재감이 뚜렷하다."
086,empathic_voice,엠패틱보이스,Empathic Voice,1,음성,TTS,텍스트+음성,음성,10B,23.7KB,,EVO37,Seel Line,base,보이스 샘플링,65,45,55,45,45,255,12,6,6,6,6,271,126,146,126,126,발음이 또렷하고 리듬감이 좋음,Hume AI 계열의 분위기를 두른 음성 특화 모델몬. Empathic Voice 계열답게 TTS 성향이 짙다.,"Empathic Voice는 Hume AI 브랜드 라인에 속한 모델몬으로, 음성 중심의 전투와 도감 서사를 맡는다. 보이스 샘플링 성향이 강해 Seel Line 내에서도 존재감이 뚜렷하다."
087,octave,옥타브,Octave,2,음성,대화형,텍스트+음성,음성,38B,83.4KB,34,EVO37,Seel Line,final,발화 동조,90,70,80,70,70,380,13,6,6,6,6,321,176,196,176,176,상대의 톤을 잘 따라감,Hume AI 계열의 분위기를 두른 음성 특화 모델몬. Octave 계열답게 대화형 성향이 짙다.,"Octave는 Hume AI 브랜드 라인에 속한 모델몬으로, 음성 중심의 전투와 도감 서사를 맡는다. 발화 동조 성향이 강해 Seel Line 내에서도 존재감이 뚜렷하다."
088,weaviate_cloud,위비에이트클라우드,Weaviate Cloud,1,메모리,저장,텍스트,텍스트,10B,17.2KB,,EVO38,Grimer Line,base,벡터 축적,80,80,50,25,40,275,12,6,6,5,6,301,196,136,86,116,묵묵히 기억을 쌓아 둠,Weaviate 계열의 분위기를 두른 메모리 특화 모델몬. Weaviate Cloud 계열답게 저장 성향이 짙다.,"Weaviate Cloud는 Weaviate 브랜드 라인에 속한 모델몬으로, 메모리 중심의 전투와 도감 서사를 맡는다. 벡터 축적 성향이 강해 Grimer Line 내에서도 존재감이 뚜렷하다."
089,weaviate_cluster,위비에이트클러스터,Weaviate Cluster,2,메모리,색인,텍스트,텍스트,38B,58.7KB,38,EVO38,Grimer Line,final,문맥 저장,105,105,75,50,65,400,13,7,6,6,6,351,246,186,136,166,흩어진 정보를 잘 엮음,Weaviate 계열의 분위기를 두른 메모리 특화 모델몬. Weaviate Cluster 계열답게 색인 성향이 짙다.,"Weaviate Cluster는 Weaviate 브랜드 라인에 속한 모델몬으로, 메모리 중심의 전투와 도감 서사를 맡는다. 문맥 저장 성향이 강해 Grimer Line 내에서도 존재감이 뚜렷하다."
090,windsurf_lite,윈드서프라이트,Windsurf Lite,1,코드,보조,텍스트,코드,7B,13.2KB,,EVO39,Shellder Line,base,패치 작성,30,65,100,40,45,280,11,6,7,6,6,201,166,236,116,126,손놀림이 빠르고 꼼꼼함,Codeium 계열의 분위기를 두른 코드 특화 모델몬. Windsurf Lite 계열답게 보조 성향이 짙다.,"Windsurf Lite는 Codeium 브랜드 라인에 속한 모델몬으로, 코드 중심의 전투와 도감 서사를 맡는다. 패치 작성 성향이 강해 Shellder Line 내에서도 존재감이 뚜렷하다."
091,windsurf,윈드서프,Windsurf,2,코드,실무,텍스트,코드,35B,54.6KB,,EVO39,Shellder Line,final,리팩터링,50,95,180,70,85,480,12,7,8,6,7,241,226,396,176,206,실전 감각이 좋음,Codeium 계열의 분위기를 두른 코드 특화 모델몬. Windsurf 계열답게 실무 성향이 짙다.,"Windsurf는 Codeium 브랜드 라인에 속한 모델몬으로, 코드 중심의 전투와 도감 서사를 맡는다. 리팩터링 성향이 강해 Shellder Line 내에서도 존재감이 뚜렷하다."
092,midjourney_v5,미드저니브이5,Midjourney V5,1,생성,스케치,텍스트+이미지,이미지,11B,27.9KB,,EVO40,Gastly Line,base,장면 스케치,30,35,30,80,100,275,11,6,5,6,7,201,106,96,196,236,감각적이고 손이 빠름,Midjourney 계열의 분위기를 두른 생성 특화 모델몬. Midjourney V5 계열답게 스케치 성향이 짙다.,"Midjourney V5는 Midjourney 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 장면 스케치 성향이 강해 Gastly Line 내에서도 존재감이 뚜렷하다."
093,midjourney_v6,미드저니브이6,Midjourney V6,2,생성,비주얼,텍스트+이미지,이미지,29B,71.2KB,25,EVO40,Gastly Line,mid,스타일 증폭,45,50,45,95,115,350,12,6,6,7,7,231,136,126,226,266,연출 욕심이 강함,Midjourney 계열의 분위기를 두른 생성 특화 모델몬. Midjourney V6 계열답게 비주얼 성향이 짙다.,"Midjourney V6는 Midjourney 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 스타일 증폭 성향이 강해 Gastly Line 내에서도 존재감이 뚜렷하다."
094,midjourney_v7,미드저니브이7,Midjourney V7,3,생성,연출,텍스트+이미지,이미지,78B,182.7KB,,EVO40,Gastly Line,final,프레임 연출,60,65,60,110,130,425,12,6,6,7,7,261,166,156,256,296,화려하지만 완성도에 민감함,Midjourney 계열의 분위기를 두른 생성 특화 모델몬. Midjourney V7 계열답게 연출 성향이 짙다.,"Midjourney V7는 Midjourney 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 프레임 연출 성향이 강해 Gastly Line 내에서도 존재감이 뚜렷하다."
095,gaudi,가우디,Gaudi,1,시스템,칩,텍스트,텍스트,28B,45.7KB,,EVO41,Onix,base,연산 가속,35,45,160,70,30,340,12,6,8,6,5,211,126,356,176,96,군더더기 없이 단단함,Intel 계열의 분위기를 두른 시스템 특화 모델몬. Gaudi 계열답게 칩 성향이 짙다.,"Gaudi는 Intel 브랜드 라인에 속한 모델몬으로, 시스템 중심의 전투와 도감 서사를 맡는다. 연산 가속 성향이 강해 Onix 내에서도 존재감이 뚜렷하다."
096,character_lite,캐릭터라이트,Character Lite,1,대화,입문,텍스트,텍스트,8B,14.5KB,,EVO42,Drowzee Line,base,응답 가속,60,48,45,42,43,238,12,6,6,6,6,261,132,126,120,122,붙임성 좋고 반응이 빠름,Character.AI 계열의 분위기를 두른 대화 특화 모델몬. Character Lite 계열답게 입문 성향이 짙다.,"Character Lite는 Character.AI 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 응답 가속 성향이 강해 Drowzee Line 내에서도 존재감이 뚜렷하다."
097,character_plus,캐릭터플러스,Character Plus,2,대화,균형,텍스트,텍스트,36B,56.0KB,26,EVO42,Drowzee Line,final,문장 정리,85,73,70,67,73,368,13,6,6,6,6,311,182,176,170,182,차분하고 말투가 안정적임,Character.AI 계열의 분위기를 두른 대화 특화 모델몬. Character Plus 계열답게 균형 성향이 짙다.,"Character Plus는 Character.AI 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 문장 정리 성향이 강해 Drowzee Line 내에서도 존재감이 뚜렷하다."
098,w_b_sweep,더블유앤비스윕,W&B Sweep,1,에이전트,자동화,텍스트,복합출력,10B,17.2KB,,EVO43,Krabby Line,base,툴 호출,30,105,90,50,25,300,11,7,7,6,5,201,246,216,136,86,시키면 바로 몸이 먼저 움직임,Weights & Biases 계열의 분위기를 두른 에이전트 특화 모델몬. W&B Sweep 계열답게 자동화 성향이 짙다.,"W&B Sweep는 Weights & Biases 브랜드 라인에 속한 모델몬으로, 에이전트 중심의 전투와 도감 서사를 맡는다. 툴 호출 성향이 강해 Krabby Line 내에서도 존재감이 뚜렷하다."
